INFO 2025-04-25 20:21:16,024 autoreload 1272 24896 Watching for file changes with StatReloader
INFO 2025-04-25 20:21:50,852 autoreload 17148 32712 Watching for file changes with StatReloader
WARNING 2025-04-25 20:22:35,172 log 17148 31700 Not Found: /
WARNING 2025-04-25 20:22:35,175 basehttp 17148 31700 "GET / HTTP/1.1" 404 2735
WARNING 2025-04-25 20:22:36,643 log 17148 31700 Not Found: /favicon.ico
WARNING 2025-04-25 20:22:36,644 basehttp 17148 31700 "GET /favicon.ico HTTP/1.1" 404 2786
INFO 2025-04-25 20:22:41,622 basehttp 17148 31700 "GET /admin HTTP/1.1" 301 0
INFO 2025-04-25 20:22:41,705 basehttp 17148 23796 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-04-25 20:22:41,825 basehttp 17148 23796 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4158
INFO 2025-04-25 20:22:42,014 basehttp 17148 32440 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2682
INFO 2025-04-25 20:22:42,016 basehttp 17148 23796 "GET /static/admin/css/base.css HTTP/1.1" 200 21544
INFO 2025-04-25 20:22:42,022 basehttp 17148 23796 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-04-25 20:22:42,022 basehttp 17148 32440 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-04-25 20:22:42,032 basehttp 17148 32440 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-04-25 20:22:42,033 basehttp 17148 23796 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17905
INFO 2025-04-25 20:22:42,039 basehttp 17148 32440 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-04-25 20:22:59,621 basehttp 17148 8048 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-04-25 20:22:59,656 basehttp 17148 8048 "GET /admin/ HTTP/1.1" 200 13110
INFO 2025-04-25 20:22:59,707 basehttp 17148 8048 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-04-25 20:22:59,850 basehttp 17148 8048 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-04-25 20:22:59,850 basehttp 17148 3144 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-04-25 20:23:26,335 basehttp 17148 25196 "GET /admin/neurologists/consultation/ HTTP/1.1" 200 14450
INFO 2025-04-25 20:23:26,415 basehttp 17148 25196 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6811
INFO 2025-04-25 20:23:26,446 basehttp 17148 25196 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-04-25 20:23:26,461 basehttp 17148 25196 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-04-25 20:23:26,466 basehttp 17148 25196 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-04-25 20:23:26,474 basehttp 17148 25196 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
